zoomlevel,regionId,regionSize,algorithm,rate,delta,waypointCost,computionCost,mappingCost,renderingCost,quality,qualityCost
11,0,0.5,1,0.001,64,587,18852,7,8,0.99356936950255,17680
11,0,0.5,1,5.0E-4,0,575,692,4,5,0.11050336314583488,280
11,0,0.5,1,5.0E-4,4,560,736,5,5,0.46954689925345555,309
11,0,0.5,1,5.0E-4,8,564,886,4,5,0.6226993865030674,401
11,0,0.5,1,5.0E-4,16,582,1448,4,5,0.7886022618079681,737
11,0,0.5,1,5.0E-4,32,570,3617,4,5,0.9264542833912337,3540
11,0,0.5,1,5.0E-4,64,578,11950,4,5,0.99356936950255,11298
11,0,0.5,1,1.0E-4,0,582,729,1,1,0.02498336905905832,294
11,0,0.5,1,1.0E-4,4,570,676,1,2,0.14653706851947668,284
11,0,0.5,1,1.0E-4,8,566,725,1,2,0.28250425012935176,309
11,0,0.5,1,1.0E-4,16,568,891,2,1,0.4203932293591544,413
11,0,0.5,1,1.0E-4,32,567,1786,1,2,0.6218493606327149,1302
11,0,0.5,1,1.0E-4,64,564,3982,1,2,0.872680907679799,4432
11,0,0.5,1,5.0E-5,0,580,686,0,1,0.01700051740705152,315
11,0,0.5,1,5.0E-5,4,574,660,1,0,0.11689703599674772,282
11,0,0.5,1,5.0E-5,8,560,684,1,1,0.1703377928893488,324
11,0,0.5,1,5.0E-5,16,564,772,0,1,0.25737305048414516,348
11,0,0.5,1,5.0E-5,32,563,1112,1,1,0.3988099637815064,867
11,0,0.5,1,5.0E-5,64,583,2618,0,1,0.7089585335205854,2751
11,0,0.5,1,1.0E-5,0,561,655,0,0,0.0027348658437430706,283
11,0,0.5,1,1.0E-5,4,561,706,0,0,0.02712691255820829,337
11,0,0.5,1,1.0E-5,8,583,688,0,1,0.04556877818020549,285
11,0,0.5,1,1.0E-5,16,565,672,0,1,0.07724148126247321,294
11,0,0.5,1,1.0E-5,32,560,768,0,0,0.1272451770271269,398
11,0,0.5,1,1.0E-5,64,570,1207,0,0,0.20751718530563973,899
11,1,0.0078125,0,0.01,0,561,0,0,0,0.0,0
11,1,0.0078125,0,0.005,0,520,0,0,0,0.0,0
11,1,0.0078125,0,0.001,0,508,0,0,0,0.0,0
11,1,0.0078125,0,5.0E-4,0,510,0,0,0,0.0,0
11,1,0.0078125,0,1.0E-4,0,527,0,0,0,0.0,0
11,1,0.0078125,0,5.0E-5,0,501,0,0,0,0.0,0
11,1,0.0078125,0,1.0E-5,0,503,0,0,0,0.0,0
11,1,0.0078125,1,0.01,0,508,1,0,0,0.0,0
11,1,0.0078125,1,0.01,4,506,0,0,0,0.0,0
11,1,0.0078125,1,0.01,8,506,0,0,0,0.0,0
11,1,0.0078125,1,0.01,16,505,0,0,0,0.0,0
11,1,0.0078125,1,0.01,32,508,1,0,0,0.0,0
11,1,0.0078125,1,0.01,64,504,1,0,0,0.0,0
11,1,0.0078125,1,0.005,0,505,0,0,0,0.0,0
11,1,0.0078125,1,0.005,4,510,1,0,0,0.0,0
11,1,0.0078125,1,0.005,8,505,0,0,0,0.0,0
11,1,0.0078125,1,0.005,16,505,1,0,0,0.0,0
11,1,0.0078125,1,0.005,32,505,0,0,0,0.0,0
11,1,0.0078125,1,0.005,64,510,0,0,0,0.0,0
11,1,0.0078125,1,0.001,0,503,0,0,0,0.0,0
